Order_ID,Order_Date,Customer_ID,Product_ID,Category,Region,Quantity,Unit_Price,Discount,Sub_Category,Sales,Cost,Profit
ORD100000,2024-05-10,CUST01487,PROD0029,Beauty,Central,7,29.35,0.26,Skincare,152.03,98.82,53.21
ORD100001,2024-11-10,CUST00042,PROD0026,Grocery,North,7,247.81,0.07,Snacks,1613.24,1048.61,564.63
ORD100002,2022-05-02,CUST01197,PROD0070,Beauty,East,1,365.99,0.09,Makeup,333.05,216.48,116.57
ORD100003,2023-04-12,CUST00679,PROD0011,Beauty,South,2,269.54,0.16,Haircare,452.83,294.34,158.49
ORD100004,2022-11-27,CUST01274,PROD0100,Grocery,West,5,163.63,0.13,Dairy,711.79,462.66,249.13
ORD100005,2022-03-29,CUST00502,PROD0020,Furniture,South,3,17.97,0.23,Sofas,41.51,26.98,14.53
ORD100006,2024-05-21,CUST01217,PROD0108,Sports,West,8,327.79,0.29,Fitness,1861.85,1210.2,651.65
ORD100007,2022-05-11,CUST00790,PROD0084,Clothing,West,4,433.43,0.19,Men,1404.31,912.8,491.51
ORD100008,2024-02-09,CUST00750,PROD0091,Grocery,Central,7,360.58,0.03,Dairy,2448.34,1591.42,856.92
ORD100009,2022-12-10,CUST00742,PROD0070,Sports,Central,5,30.29,0.13,Apparel,131.76,85.64,46.12
ORD100010,2024-03-16,CUST00165,PROD0033,Electronics,South,6,352.0,0.16,Laptops,1774.08,1153.15,620.93
ORD100011,2023-01-21,CUST00755,PROD0030,Electronics,Central,7,370.07,0.29,Laptops,1839.25,1195.51,643.74
ORD100012,2024-08-13,CUST00090,PROD0050,Furniture,South,8,333.35,0.1,Chairs,2400.12,1560.08,840.04
ORD100013,2022-10-04,CUST00987,PROD0034,Sports,Central,3,296.54,0.2,Outdoor Games,711.7,462.6,249.1
ORD100014,2023-04-05,CUST01082,PROD0005,Beauty,Central,3,352.21,0.0,Haircare,1056.63,686.81,369.82
ORD100015,2022-01-22,CUST01287,PROD0080,Grocery,West,2,290.19,0.13,Beverages,504.93,328.2,176.73
ORD100016,2022-09-10,CUST00648,PROD0012,Toys,East,6,242.16,0.01,Educational,1438.43,934.98,503.45
ORD100017,2024-01-18,CUST00750,PROD0076,Sports,Central,2,270.51,0.07,Fitness,503.15,327.05,176.1
ORD100018,2024-05-06,CUST00819,PROD0075,Electronics,Central,1,40.68,0.14,Laptops,34.98,22.74,12.24
ORD100019,2023-04-20,CUST00243,PROD0052,Sports,South,1,265.14,0.17,Outdoor Games,220.07,143.05,77.02
ORD100020,2024-12-18,CUST00663,PROD0051,Grocery,West,9,353.29,0.26,Dairy,2352.91,1529.39,823.52
ORD100021,2023-05-26,CUST00858,PROD0021,Toys,West,1,249.39,0.06,Educational,234.43,152.38,82.05
ORD100022,2023-12-01,CUST00219,PROD0071,Clothing,East,7,280.7,0.09,Kids,1788.06,1162.24,625.82
ORD100023,2024-09-02,CUST00009,PROD0058,Beauty,East,5,383.2,0.17,Haircare,1590.28,1033.68,556.6
ORD100024,2022-07-09,CUST00430,PROD0098,Sports,East,6,74.97,0.06,Outdoor Games,422.83,274.84,147.99
ORD100025,2024-08-15,CUST00013,PROD0064,Grocery,Central,9,376.18,0.27,Beverages,2471.5,1606.48,865.02
ORD100026,2023-11-18,CUST00907,PROD0093,Clothing,South,3,189.92,0.26,Men,421.62,274.05,147.57
ORD100027,2024-08-15,CUST00970,PROD0006,Electronics,North,6,393.85,0.27,Accessories,1725.06,1121.29,603.77
ORD100028,2023-07-17,CUST01249,PROD0100,Clothing,South,7,113.74,0.22,Men,621.02,403.66,217.36
ORD100029,2024-04-11,CUST00690,PROD0098,Electronics,West,2,398.09,0.3,Laptops,557.33,362.26,195.07
ORD100030,2023-10-09,CUST01091,PROD0049,Furniture,East,6,396.79,0.25,Chairs,1785.56,1160.61,624.95
ORD100031,2022-01-21,CUST00677,PROD0072,Furniture,North,6,164.03,0.15,Sofas,836.55,543.76,292.79
ORD100032,2024-04-20,CUST00184,PROD0037,Electronics,West,5,399.03,0.22,Laptops,1556.22,1011.54,544.68
ORD100033,2022-06-16,CUST01005,PROD0010,Toys,East,7,66.33,0.03,Puzzles,450.38,292.75,157.63
ORD100034,2023-01-23,CUST00208,PROD0080,Furniture,North,9,405.68,0.28,Sofas,2628.81,1708.73,920.08
ORD100035,2023-08-24,CUST00528,PROD0066,Beauty,South,7,77.5,0.3,Skincare,379.75,246.84,132.91
ORD100036,2022-11-12,CUST01324,PROD0056,Toys,West,2,492.86,0.26,Outdoor,729.43,474.13,255.3
ORD100037,2022-01-14,CUST00818,PROD0083,Toys,Central,4,295.74,0.01,Puzzles,1171.13,761.23,409.9
ORD100038,2022-08-30,CUST01003,PROD0071,Toys,North,1,391.94,0.05,Outdoor,372.34,242.02,130.32
ORD100039,2024-02-16,CUST01265,PROD0066,Grocery,North,2,283.89,0.03,Snacks,550.75,357.99,192.76
ORD100040,2023-07-19,CUST00455,PROD0045,Sports,South,9,291.51,0.13,Fitness,2282.52,1483.64,798.88
ORD100041,2024-06-16,CUST00902,PROD0087,Beauty,South,7,244.02,0.01,Skincare,1691.06,1099.19,591.87
ORD100042,2022-04-02,CUST00244,PROD0095,Grocery,West,8,73.44,0.28,Dairy,423.01,274.96,148.05
ORD100043,2024-08-13,CUST00771,PROD0068,Sports,Central,8,139.61,0.18,Fitness,915.84,595.3,320.54
ORD100044,2023-05-24,CUST00238,PROD0064,Sports,East,2,468.24,0.17,Outdoor Games,777.28,505.23,272.05
ORD100045,2024-02-15,CUST01270,PROD0016,Toys,North,5,189.46,0.13,Educational,824.15,535.7,288.45
ORD100046,2022-02-04,CUST00345,PROD0010,Electronics,North,1,32.84,0.1,Accessories,29.56,19.21,10.35
ORD100047,2022-07-25,CUST00310,PROD0113,Sports,West,9,399.7,0.15,Apparel,3057.7,1987.5,1070.2
ORD100048,2024-10-22,CUST01308,PROD0021,Furniture,East,5,358.08,0.16,Tables,1503.94,977.56,526.38
ORD100049,2024-10-18,CUST00038,PROD0092,Clothing,East,1,157.21,0.21,Men,124.2,80.73,43.47
ORD100050,2023-07-20,CUST00032,PROD0110,Grocery,East,7,188.71,0.05,Beverages,1254.92,815.7,439.22
ORD100051,2023-12-04,CUST01267,PROD0012,Grocery,West,9,248.17,0.17,Snacks,1853.83,1204.99,648.84
ORD100052,2023-02-06,CUST00292,PROD0013,Beauty,North,1,75.61,0.17,Skincare,62.76,40.79,21.97
ORD100053,2023-12-31,CUST00292,PROD0116,Clothing,South,1,496.18,0.11,Kids,441.6,287.04,154.56
ORD100054,2022-06-11,CUST00758,PROD0104,Toys,North,1,192.1,0.29,Outdoor,136.39,88.65,47.74
ORD100055,2022-07-21,CUST01406,PROD0081,Beauty,South,7,429.61,0.22,Skincare,2345.67,1524.69,820.98
ORD100056,2024-09-22,CUST00578,PROD0082,Beauty,South,3,415.04,0.21,Haircare,983.64,639.37,344.27
ORD100057,2022-09-27,CUST01162,PROD0117,Sports,West,9,136.25,0.26,Outdoor Games,907.42,589.82,317.6
ORD100058,2024-03-26,CUST01224,PROD0010,Beauty,East,9,44.21,0.1,Skincare,358.1,232.76,125.34
ORD100059,2023-04-01,CUST01359,PROD0092,Clothing,West,7,226.64,0.06,Women,1491.29,969.34,521.95
ORD100060,2024-10-13,CUST00605,PROD0013,Toys,South,3,113.33,0.13,Educational,295.79,192.26,103.53
ORD100061,2022-10-23,CUST00447,PROD0034,Beauty,North,8,192.72,0.18,Makeup,1264.24,821.76,442.48
ORD100062,2023-12-21,CUST01372,PROD0059,Grocery,South,6,459.79,0.17,Dairy,2289.75,1488.34,801.41
ORD100063,2022-12-04,CUST00278,PROD0049,Beauty,West,4,294.58,0.07,Skincare,1095.84,712.3,383.54
ORD100064,2024-05-28,CUST00994,PROD0006,Clothing,North,8,214.07,0.08,Women,1575.56,1024.11,551.45
ORD100065,2024-12-12,CUST00532,PROD0012,Sports,East,3,298.82,0.28,Apparel,645.45,419.54,225.91
ORD100066,2024-03-02,CUST01423,PROD0029,Electronics,West,1,56.72,0.02,Mobiles,55.59,36.13,19.46
ORD100067,2022-08-05,CUST01415,PROD0077,Furniture,Central,4,381.39,0.15,Sofas,1296.73,842.87,453.86
ORD100068,2024-02-03,CUST00984,PROD0026,Furniture,South,9,285.31,0.14,Tables,2208.3,1435.4,772.9
ORD100069,2022-07-07,CUST00602,PROD0068,Furniture,East,7,485.14,0.12,Chairs,2988.46,1942.5,1045.96
ORD100070,2023-01-15,CUST00562,PROD0079,Clothing,East,1,200.17,0.24,Men,152.13,98.88,53.25
ORD100071,2023-05-08,CUST01034,PROD0016,Beauty,North,1,97.56,0.28,Makeup,70.24,45.66,24.58
ORD100072,2024-11-30,CUST00591,PROD0053,Beauty,West,1,93.82,0.3,Makeup,65.67,42.69,22.98
ORD100073,2022-01-15,CUST00059,PROD0019,Sports,South,6,429.4,0.04,Fitness,2473.34,1607.67,865.67
ORD100074,2022-03-06,CUST01112,PROD0047,Toys,Central,9,233.09,0.01,Outdoor,2076.83,1349.94,726.89
ORD100075,2023-06-05,CUST00459,PROD0090,Sports,South,3,149.43,0.08,Fitness,412.43,268.08,144.35
ORD100076,2023-10-10,CUST00104,PROD0032,Sports,West,3,395.32,0.2,Apparel,948.77,616.7,332.07
ORD100077,2024-12-22,CUST00831,PROD0070,Beauty,East,7,369.89,0.12,Makeup,2278.52,1481.04,797.48
ORD100078,2023-08-16,CUST00789,PROD0116,Beauty,Central,6,455.6,0.14,Haircare,2350.9,1528.08,822.82
ORD100079,2023-01-27,CUST00104,PROD0070,Grocery,North,9,433.73,0.3,Beverages,2732.5,1776.12,956.38
ORD100080,2023-02-23,CUST01278,PROD0061,Furniture,West,3,53.41,0.15,Sofas,136.2,88.53,47.67
ORD100081,2022-10-16,CUST00742,PROD0005,Clothing,South,7,90.0,0.27,Kids,459.9,298.94,160.96
ORD100082,2023-01-14,CUST01359,PROD0059,Furniture,West,7,233.04,0.12,Chairs,1435.53,933.09,502.44
ORD100083,2022-08-19,CUST01487,PROD0002,Sports,North,9,447.9,0.13,Outdoor Games,3507.06,2279.59,1227.47
ORD100084,2024-10-14,CUST00301,PROD0116,Toys,South,6,374.39,0.23,Educational,1729.68,1124.29,605.39
ORD100085,2022-02-10,CUST00654,PROD0002,Beauty,Central,9,69.46,0.27,Makeup,456.35,296.63,159.72
ORD100086,2024-11-17,CUST00555,PROD0101,Electronics,South,6,98.9,0.24,Accessories,450.98,293.14,157.84
ORD100087,2022-05-15,CUST00628,PROD0003,Beauty,South,2,234.74,0.14,Haircare,403.75,262.44,141.31
ORD100088,2022-07-20,CUST01365,PROD0070,Electronics,North,6,345.75,0.21,Laptops,1638.86,1065.26,573.6
ORD100089,2024-02-19,CUST01108,PROD0095,Beauty,South,5,101.73,0.08,Haircare,467.96,304.17,163.79
ORD100090,2024-07-18,CUST00929,PROD0043,Sports,West,6,46.27,0.02,Fitness,272.07,176.85,95.22
ORD100091,2024-11-22,CUST01283,PROD0005,Grocery,East,9,14.17,0.05,Snacks,121.15,78.75,42.4
ORD100092,2024-12-07,CUST00360,PROD0050,Electronics,North,6,69.64,0.01,Laptops,413.66,268.88,144.78
ORD100093,2023-05-18,CUST00087,PROD0110,Electronics,North,5,207.91,0.13,Mobiles,904.41,587.87,316.54
ORD100094,2023-02-11,CUST00428,PROD0010,Beauty,North,5,432.96,0.2,Haircare,1731.84,1125.7,606.14
