Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Year,Month,Day,Quarter,Is_Weekend,Profit_Margin,Recency,Frequency,Monetary,Avg_Order_Value,Total_Profit,Category_Clothing,Category_Electronics,Category_Furniture,Category_Grocery,Category_Sports,Category_Toys,Region_East,Region_North,Region_South,Region_West,Sub_Category_Apparel,Sub_Category_Beverages,Sub_Category_Chairs,Sub_Category_Dairy,Sub_Category_Educational,Sub_Category_Fitness,Sub_Category_Haircare,Sub_Category_Kids,Sub_Category_Laptops,Sub_Category_Makeup,Sub_Category_Men,Sub_Category_Mobiles,Sub_Category_Outdoor,Sub_Category_Outdoor Games,Sub_Category_Puzzles,Sub_Category_Skincare,Sub_Category_Snacks,Sub_Category_Sofas,Sub_Category_Tables,Sub_Category_Women,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday
ORD100000,2024-05-10,CUST01487,PROD0029,7,29.35,0.26,152.03,98.82,53.21,2024,5,10,2,0,0.35,82,20,26362.649999999998,1318.1325,9226.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ORD100001,2024-11-10,CUST00042,PROD0026,7,247.81,0.07,1613.24,1048.61,564.63,2024,11,10,4,1,0.35,16,10,12039.37,1203.9370000000001,4213.78,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ORD100002,2022-05-02,CUST01197,PROD0070,1,365.99,0.09,333.05,216.48,116.57,2022,5,2,2,0,0.35,250,14,19092.42,1363.7442857142855,6682.360000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ORD100003,2023-04-12,CUST00679,PROD0011,2,269.54,0.16,452.83,294.34,158.49,2023,4,12,2,0,0.35,7,14,16134.12,1152.4371428571428,5646.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD100004,2022-11-27,CUST01274,PROD0100,5,163.63,0.13,711.79,462.66,249.13,2022,11,27,4,1,0.35,80,14,14284.59,1020.3278571428572,4999.59,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORD100005,2022-03-29,CUST00502,PROD0020,3,17.97,0.23,41.51,26.98,14.53,2022,3,29,1,0,0.35,51,16,15776.99,986.061875,5521.93,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ORD100006,2024-05-21,CUST01217,PROD0108,8,327.79,0.29,1861.85,1210.2,651.65,2024,5,21,2,0,0.35,171,11,12349.08,1122.6436363636365,4322.18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ORD100007,2022-05-11,CUST00790,PROD0084,4,433.43,0.19,1404.31,912.8,491.51,2022,5,11,2,0,0.35,276,12,16614.67,1384.555833333333,5815.14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ORD100008,2024-02-09,CUST00750,PROD0091,7,360.58,0.03,2448.34,1591.42,856.92,2024,2,9,1,0,0.35,76,15,15544.25,1036.2833333333333,5440.49,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD100009,2022-12-10,CUST00742,PROD0070,5,30.29,0.13,131.76,85.64,46.12,2022,12,10,4,1,0.35,3,23,19765.36,859.3634782608696,6917.88,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
