Order_ID,Order_Date,Customer_ID,Product_ID,Category,Region,Quantity,Unit_Price,Discount,Sub_Category,Sales,Cost,Profit
ORD100000,2024-05-10,CUST01487,PROD0029,Beauty,Central,7,29.35,0.26,Skincare,152.03,116.88,35.15
ORD100001,2024-11-10,CUST00042,PROD0026,Grocery,North,7,247.81,0.07,Snacks,1613.24,1080.59,532.65
ORD100002,2022-05-02,CUST01197,PROD0070,Beauty,East,1,365.99,0.09,Makeup,333.05,189.94,143.11
ORD100003,2023-04-12,CUST00679,PROD0011,Beauty,South,2,269.54,0.16,Haircare,452.83,273.79,179.04
ORD100004,2022-11-27,CUST01274,PROD0100,Grocery,West,5,163.63,0.13,Dairy,711.79,453.71,258.08
ORD100005,2022-03-29,CUST00502,PROD0020,Furniture,South,3,17.97,0.23,Sofas,41.51,31.97,9.54
ORD100006,2024-05-21,CUST01217,PROD0108,Sports,West,8,327.79,0.29,Fitness,1861.85,1117.44,744.41
ORD100007,2022-05-11,CUST00790,PROD0084,Clothing,West,4,433.43,0.19,Men,1404.31,1019.48,384.83
ORD100008,2024-02-09,CUST00750,PROD0091,Grocery,Central,7,360.58,0.03,Dairy,2448.34,1866.36,581.98
ORD100009,2022-12-10,CUST00742,PROD0070,Sports,Central,5,30.29,0.13,Apparel,131.76,89.36,42.4
ORD100010,2024-03-16,CUST00165,PROD0033,Electronics,South,6,352.0,0.16,Laptops,1774.08,1248.81,525.27
ORD100011,2023-01-21,CUST00755,PROD0030,Electronics,Central,7,370.07,0.29,Laptops,1839.25,1259.73,579.52
ORD100012,2024-08-13,CUST00090,PROD0050,Furniture,South,8,333.35,0.1,Chairs,2400.12,1776.93,623.19
ORD100013,2022-10-04,CUST00987,PROD0034,Sports,Central,3,296.54,0.2,Outdoor Games,711.7,484.45,227.25
ORD100014,2023-04-05,CUST01082,PROD0005,Beauty,Central,3,352.21,0.0,Haircare,1056.63,830.18,226.45
ORD100015,2022-01-22,CUST01287,PROD0080,Grocery,West,2,290.19,0.13,Beverages,504.93,386.93,118.0
ORD100016,2022-09-10,CUST00648,PROD0012,Toys,East,6,242.16,0.01,Educational,1438.43,1060.83,377.6
ORD100017,2024-01-18,CUST00750,PROD0076,Sports,Central,2,270.51,0.07,Fitness,503.15,318.54,184.61
ORD100018,2024-05-06,CUST00819,PROD0075,Electronics,Central,1,40.68,0.14,Laptops,34.98,24.51,10.47
ORD100019,2023-04-20,CUST00243,PROD0052,Sports,South,1,265.14,0.17,Outdoor Games,220.07,128.12,91.95
ORD100020,2024-12-18,CUST00663,PROD0051,Grocery,West,9,353.29,0.26,Dairy,2352.91,1527.3,825.61
ORD100021,2023-05-26,CUST00858,PROD0021,Toys,West,1,249.39,0.06,Educational,234.43,160.67,73.76
ORD100022,2023-12-01,CUST00219,PROD0071,Clothing,East,7,280.7,0.09,Kids,1788.06,1138.37,649.69
ORD100023,2024-09-02,CUST00009,PROD0058,Beauty,East,5,383.2,0.17,Haircare,1590.28,910.91,679.37
ORD100024,2022-07-09,CUST00430,PROD0098,Sports,East,6,74.97,0.06,Outdoor Games,422.83,265.61,157.22
ORD100025,2024-08-15,CUST00013,PROD0064,Grocery,Central,9,376.18,0.27,Beverages,2471.5,1929.33,542.17
ORD100026,2023-11-18,CUST00907,PROD0093,Clothing,South,3,189.92,0.26,Men,421.62,296.13,125.49
ORD100027,2024-08-15,CUST00970,PROD0006,Electronics,North,6,393.85,0.27,Accessories,1725.06,1033.5,691.56
ORD100028,2023-07-17,CUST01249,PROD0100,Clothing,South,7,113.74,0.22,Men,621.02,465.13,155.89
