ds,yhat,yhat_lower,yhat_upper
2022-01-01,19735.8194921928,11989.540638063854,27520.152894224942
2022-01-02,19739.71458319272,11781.534755179186,27215.60774802318
2022-01-03,19008.91399475201,11576.577641219077,26385.412923300406
2022-01-04,20462.779183088714,12960.240344405818,28026.721078556202
2022-01-05,19355.23156590382,12101.92734348568,27161.200877738283
2022-01-06,20286.986050223553,13070.663512421452,27902.48329338843
2022-01-07,20114.415328391755,12982.890259535016,27360.89257451081
2022-01-08,20143.83335702086,12367.393763151707,27306.645778046557
2022-01-09,20098.609625575336,12740.393739794154,27492.655843015593
2022-01-10,19318.32238211088,11708.590833611757,26715.96171242484
2022-01-11,20723.774694783337,13791.88507252875,28316.889926885266
2022-01-12,19570.160463039112,10868.855433278573,27089.281200501668
2022-01-13,20459.25346309025,12517.48007250509,27754.471935747104
2022-01-14,20248.23580163977,12752.81484634557,27338.534483737418
2022-01-15,20243.955416245757,12314.096783989602,27102.803629747516
2022-01-16,20170.02511397936,12409.193271249876,27811.082770217334
2022-01-17,19365.971832346575,11926.376423967002,26376.47188792797
2022-01-18,20752.26013249085,13414.058016576004,28212.776337921765
2022-01-19,19583.47677963326,12195.188404173869,27130.476853042597
2022-01-20,20460.548854120996,13636.335474373387,28159.262169693087
2022-01-21,20239.610763897253,12860.094541451992,27840.949393034414
2022-01-22,20226.308463741723,12971.845304795641,27272.49881092334
2022-01-23,20142.95175282167,12353.239648935412,27899.75069049777
2022-01-24,19327.72147996669,12525.08953373484,27101.92944846868
2022-01-25,20699.75363744865,13317.79000377128,28259.299982583023
2022-01-26,19512.385060608693,12180.826754263371,26802.287033060435
2022-01-27,20365.431000861987,13292.84154235471,27787.91130228318
2022-01-28,20114.10779971271,12728.365584744664,27510.163437626477
2022-01-29,20063.386930292447,12934.461603280615,27063.98662871267
2022-01-30,19935.189410821782,12333.322924930748,27450.660149034647
2022-01-31,19067.62578743979,11903.296475362089,26565.880751912573
2022-02-01,20380.102325733194,12908.826232447598,27757.96695893952
2022-02-02,19126.577124841548,11774.975315001413,26461.461006038597
2022-02-03,19907.835792212205,12064.996312177065,27909.097663002587
2022-02-04,19580.399676372148,12223.46551388977,27031.899724086008
2022-02-05,19450.85310525667,11827.865850619646,26945.88268034989
2022-02-06,19242.999225988733,11946.372082685111,26911.45689666825
2022-02-07,18297.050634055686,10613.713338750056,25671.36954410085
2022-02-08,19534.676786555137,12477.961888933565,26960.23859257808
2022-02-09,18212.19360829277,10874.227502070471,25736.499493501953
2022-02-10,18932.76690041579,11075.896246643406,26416.656254769387
2022-02-11,18555.24474654907,10665.03152590981,25878.290100354836
